Funktion;Status;Nicht_nachgewiesene_Marker
"Alle Logins";"VORHANDEN";""
"Zentrale Rollenrechte";"VORHANDEN";""
"Login Home + Deutsch";"VORHANDEN";""
"Tageszeitbegrüßung + Uhr";"VORHANDEN";""
"Mobile Bottom-Navigation";"VORHANDEN";""
"Arabisch statt Niederländisch / RTL";"VORHANDEN";""
"Zentrales Datenmodell";"VORHANDEN";""
"Fahrzeugakte";"VORHANDEN";""
"Fahrerakte";"VORHANDEN";""
"Management Zugriff Fahrerakten";"VORHANDEN";""
"Feste Fahrzeugzuordnung";"VORHANDEN";""
"Fahrer bestätigt Fahrzeug";"VORHANDEN";""
"Dokumente über Kennzeichen";"VORHANDEN";""
"Führerscheinarchiv";"VORHANDEN";""
"Abfahrtskontrolle Archiv";"VORHANDEN";""
"Schaden -> Werkstattauftrag";"VORHANDEN";""
"Werkstattstatus";"VORHANDEN";""
"Werkstattarchiv";"VORHANDEN";""
"Begegnungspunkte";"VORHANDEN";""
"Punkte-System";"VORHANDEN";""
"PDF/Datei-Archiv-Grundstruktur";"VORHANDEN";""
"Digitale Unterschrift";"VORHANDEN";""
"Textauswahl/Cursor-Sperre";"VORHANDEN";""
"E-Mail-Versand";"NICHT REAL TESTBAR / BACKEND ERFORDERLICH";"SMTP"
"Cloud/Server-Datenbank";"NICHT REAL TESTBAR / BACKEND ERFORDERLICH";"sync, cloud"
"Echte KI-Bildanalyse";"NICHT REAL TESTBAR / BACKEND ERFORDERLICH";"image analysis"
